date,type,reg,operator,location,fatalities,damage_level
03-01-2022,British Aerospace 4121 Jetstream 41,ZS-NRJ,SA Airlink,near Venetia Mine Airport,0,Medium
04-01-2022,British Aerospace 3101 Jetstream 31,HR-AYY,LANHSA - Línea Aérea Nacional de Honduras S.A,Roatán-Juan Manuel Gálvez International Airport (RTB),0,Medium
05-01-2022,Boeing 737-4H6,EP-CAP,Caspian Airlines,Isfahan-Shahid Beheshti Airport (IFN),0,Medium
08-01-2022,Tupolev Tu-204-100C,RA-64032,"Cainiao, opb Aviastar-TU",Hangzhou Xiaoshan International Airport (HGH),0,High
12-01-2022,Beechcraft 200 Super King Air,others,private,"Machakilha, Toledo District, Grahem Creek area",0,High
16-01-2022,Airbus A320-214 (WL),JA24MC,Star Flyer,near Okayama City,0,Low
19-01-2022,Cessna 208B Grand Caravan EX,YV3033,Mahan Air,"near Vakilabad, Arzuiyeh",0,Medium
22-01-2022,Airbus A320-232,N760JB,JetBlue Airways,"Hayden-Yampa Valley Airport, CO (HDN)",0,Medium
27-01-2022,Bombardier CL-600-2B16 Challenger 604,2-SLOW,Volare Aviation,Heraklion-N. Kazantzakis Airport (HER/LGIR),0,Medium
31-01-2022,Bombardier CL-600-2B16 Challenger 604,N999PX,Lima Delta Co Trustee,London-Stansted Airport (STN),0,Medium
31-01-2022,Beechcraft B300 King Air 350,C-GEAS,"Air Tindi, opf Royal Canadian Air Force - RCAF","Thunder Bay Airport, ON (YQT)",0,Medium
02-02-2022,Hawker 1000,N207K,Skyview LLC,"Islip-Long Island MacArthur Airport, NY (ISP)",0,Medium
05-02-2022,Cessna 208B Grand Caravan,5H-TAZ,Care Aviation,New Fangak Airstrip,0,Medium
07-02-2022,Embraer ERJ-190-100LR,OH-LKK,Finnair,KÃ¸benhavn-Kastrup Airport (CPH),0,Medium
08-02-2022,Antonov An-26,SP-402,South Sudanese Air Force,Agok Airstrip,0,Medium
11-02-2022,Cessna 501 Citation I/SP,LV-JUO,Aviajet SA,"Morón-Ituzaingo Airport, BA",0,Medium
11-02-2022,Antonov An-2R,RA-33599,Kamchatsky Krechet,"1 km SW of Koryaki, Yelizovsky district, Kamchatka",2,High
14-02-2022,Let L-410UVP-E3,9S-GFA,Doren Air Congo,Bukavu-Kavumu Airport (BKY),0,High
15-02-2022,ATR 42-500,JA04JC,Japan Air Commuter,55 km NNW of Osaka Airport,0,Low
15-02-2022,Britten-Norman BN-2A-9 Islander,N821RR,Air Flamenco,Culebra Airport (CPX),0,Medium
16-02-2022,Swearingen SA226-AT Merlin IV,HK-5225,Colcharter,San Andres Island-Gustavo Rojas Pinilla Airport (ADZ),0,Medium
18-02-2022,Embraer EMB-500 Phenom 100E,N68NH,Eclipse Transport LLC,"Detroit-Coleman A. Young International Airport, MI (DET)",0,Medium
21-02-2022,de Havilland Canada DHC-3T Texas Turbine Otter,N413JP,Bald Mountain Air Services,"Umiat Airport, AK (UMT)",0,Medium
21-02-2022,Raytheon Hawker 800XP,N99AP,Roper Aviation LLC,"Aspen-Pitkin County Airport, CO (ASE/KASE)",0,Medium
23-02-2022,Cessna 208B Grand Caravan,5X-ASD,Air Serv Limited,Bor Airport (HSBR),0,Medium
23-02-2022,Antonov An-2,others,Taraz Zhana Alem,10 km S of Aralsk,0,High
24-02-2022,Antonov An-22A,UR-09307,Antonov Airlines,Kyiv-Gostomel Airport (GML),0,Medium
24-02-2022,Antonov An-26-100,UR-13395,Antonov Airlines,Kyiv-Gostomel Airport (GML),0,High
24-02-2022,Antonov An-74T,UR-74010,Antonov Airlines,Kyiv-Gostomel Airport (GML),0,High
24-02-2022,Cessna 208B Supervan 900,N10JA,GoJump Oceanside,"0,4 km NE of Oceanside Municipal Airport, CA (OCN/KOKB)",0,Medium
24-02-2022,Antonov An-26,RF-36074,Russian Air Force,"near Ostrogozhsk, Voronezh Region",0,High
24-02-2022,Antonov An-26,59 blue,Ukraine Air Force,ca 2 km N of Zhukivtsi,5,High
26-02-2022,Cessna 208B Grand Caravan,5H-MZA,AB Aviation,"2,5 km NW off Mohéli-Bandar es Eslam Airport (NWA)",14,High
27-02-2022,Antonov An-124-100,UR-82009,Antonov Airlines,Kyiv-Gostomel Airport (GML),0,Medium
27-02-2022,Antonov An-225,UR-82060,Antonov Airlines,Kyiv-Gostomel Airport (GML),0,High
28-02-2022,Cessna 208B Grand Caravan,N108RF,Revolution Flight,"Campbellton, TX",0,Medium
28-02-2022,Embraer ERJ 170-200 LR (ERJ-175LR),N402YX,"American Eagle, opb Republic Airlines","Washington-Ronald Reagan National Airport, DC (DCA)",0,Low
28-02-2022,Cessna 208B Grand Caravan EX,PK-FSW,Spirit Avia Sentosa,Bilogai/Sugapa Airport (ZGP),0,Medium
01-03-2022,Shaanxi Y-8Q,others,China Naval Air Force - Unit 92967,"off Sanya, Hainan Province",11,High
02-03-2022,Embraer EMB-500 Phenom 100,LV-GQN,Flyzar,"Angra dos Reis Airport, RJ (SDAG)",0,Medium
03-03-2022,Boeing 737-8AS (WL),EI-DHH,Ryanair,Ibiza Airport (LEIB),0,Low
05-03-2022,Dornier 228-101,CG756,Indian Coast Guard,Kanpur Air Force Station (VICX),0,Medium
06-03-2022,Beechcraft 200 Super King Air,N8170J,HLAF AETA LLC,"Gulfport-Biloxi International Airport, MS (GPT)",0,Medium
07-03-2022,Cessna 525B CitationJet CJ3,N22AU,Ozark Air Services,"Baltimore-Martin State Airport, MD (MTN)",0,Medium
08-03-2022,Cessna 208 Caravan I,C-GIPR,Bamaji Air,"17 km NNW of Sioux Lookout Airport, ON (YXL)",0,High
09-03-2022,Honda HA-420 HondaJet,N903JT,Jet It LLC,"Pittsburgh-Allegheny County Airport, PA (AGC)",0,Medium
