location,latitude,longitude
"1,6 km SW of Indianapolis Regional Airport, IN",20.5937,78.9629
"100 km SSE off Muroto Cape, Japan",36.2048,138.2529
"120 km E off Sendai, Japan",36.2048,138.2529
15 km ENE of Tokyo-Haneda International Airport (HND),35.5494,139.7798
16 km W of Kavala,3.1795,101.704988
19 km NE of Jakarta-Soekarno-Hatta International Airport (CGK),-6.1275,106.6537
"31 km N of Vancouver International Airport, BC (YVR)",49.1939,-123.184
"500 km E off Fort Lauderdale, Florida, USA",27.7663,-82.6404
Aarhus Airport (AAR/EKAH),56.304728,10.612299
Aberdeen International Airport (ABZ/EGPD),57.202226,-2.201736
"Addenbroke Island, BC",51.605517,-127.846287
Adler/Sochi Airport (AER),43.443971,39.940093
Akobo Airport (HSAK),7.777391,33.002658
Akola village,21.051467,77.712076
Al Jufra Airbase,29.200325,16.051827
"Albany, New York",42.651167,-73.754968
"Alexandria, Louisiana",31.311946,-92.445356
Alicante Airport (ALC/LEAL),38.284418,-0.565753
Almaty Airport (ALA),43.355686,77.042584
Almaty Airport (ALA/UAAA),43.355686,77.042584
AlmerÃ­a Airport (LEI),36.843994,-2.372
Alonso de Rojas,-0.241745,-78.519234
Alta Airport (ALF/ENAT),69.977163,23.359519
"Anchorage, Alaska",61.216313,-149.894852
Antalya Airport (AYT),36.899942,30.798191
Antalya Airport (AYT/LTAI),36.899942,30.798191
Bandar Mahshahr Airport (MRX),30.56091,49.146835
Bay of Bengal,14.22027,86.742845
Beijing-Capital International Airport (PEK),40.0799,116.6031
Belfast International Airport (BFS/EGAA),54.652656,-6.228744
Beni Airport (BNC),0.57769,29.468553
Billund Airport (BLL),55.740737,9.160392
"Blue Creek, Orange Walk",17.906712,-89.050343
Bluefields,11.60384,-83.561381
"Boituva, SP",-23.283889,-47.673823
Bor Airport (HSBR),6.190066,31.599903
Bourgas Airport (BOJ),42.570221,27.516987
Bremen Airport (BRE/EDDW),53.045342,8.789642
Bristol Airport (BRS/EGGD),51.38297,-2.718624
"Calgary International Airport, AB (YYC)",51.12226,-114.013541
"Campbellton, TX",28.745113,-98.301258
Canaima Airport (CAJ),6.234252,-62.855125
CancÃºn Airport (CUN/MMUN),21.040698,-86.881759
"Candle 2 Airport, AK",65.909265,-161.937977
Caracas/La Carlota-Gen. Francisco de Miranda Air Base (SVFM),32.4279,53.688
"Charlottesville, Virginia",38.029306,-78.476678
Chiang Rai-Mae Fah Luang International Airport (CEI),19.948092,99.879457
